Date/time,Endpoint,Retry counter
13-11-2024 11:19:09,/api/v1/markets/US100,1
13-11-2024 12:20:01,/api/v1/markets/US100,1
13-11-2024 13:54:09,/api/v1/markets/US100,1
13-11-2024 16:44:05,/api/v1/markets/US100,1
13-11-2024 17:13:15,/api/v1/markets/US100,1
13-11-2024 19:00:09,/api/v1/markets/US100,1
13-11-2024 19:56:42,/api/v1/markets/US100,1
13-11-2024 20:43:16,/api/v1/markets/US100,1
13-11-2024 21:00:40,/api/v1/markets/US100,1
15-11-2024 02:09:36,/api/v1/positions/None,1
15-11-2024 02:09:51,/api/v1/positions/None,2
15-11-2024 02:10:07,/api/v1/positions/None,3
15-11-2024 02:10:22,/api/v1/positions/None,4
15-11-2024 02:10:37,/api/v1/positions/None,5
15-11-2024 02:10:52,/api/v1/positions/None,6
15-11-2024 02:11:07,/api/v1/positions/None,7
15-11-2024 02:11:23,/api/v1/positions/None,8
15-11-2024 02:11:38,/api/v1/positions/None,9
15-11-2024 02:21:45,/api/v1/positions/None,1
15-11-2024 02:22:00,/api/v1/positions/None,2
15-11-2024 02:22:15,/api/v1/positions/None,3
15-11-2024 02:22:30,/api/v1/positions/None,4
15-11-2024 02:22:45,/api/v1/positions/None,5
15-11-2024 02:23:01,/api/v1/positions/None,6
15-11-2024 02:23:17,/api/v1/positions/None,7
15-11-2024 02:23:32,/api/v1/positions/None,8
15-11-2024 02:23:47,/api/v1/positions/None,9
15-11-2024 02:33:54,/api/v1/positions/None,1
15-11-2024 02:34:09,/api/v1/positions/None,2
15-11-2024 02:34:24,/api/v1/positions/None,3
15-11-2024 02:34:39,/api/v1/positions/None,4
15-11-2024 02:34:55,/api/v1/positions/None,5
15-11-2024 02:35:10,/api/v1/positions/None,6
15-11-2024 02:35:25,/api/v1/positions/None,7
15-11-2024 02:35:40,/api/v1/positions/None,8
15-11-2024 02:35:55,/api/v1/positions/None,9
15-11-2024 02:46:02,/api/v1/positions/None,1
15-11-2024 02:46:17,/api/v1/positions/None,2
15-11-2024 02:46:33,/api/v1/positions/None,3
15-11-2024 02:46:48,/api/v1/positions/None,4
15-11-2024 02:47:03,/api/v1/positions/None,5
15-11-2024 02:47:18,/api/v1/positions/None,6
15-11-2024 02:47:33,/api/v1/positions/None,7
15-11-2024 02:47:49,/api/v1/positions/None,8
15-11-2024 02:48:04,/api/v1/positions/None,9
15-11-2024 02:58:09,/api/v1/markets/US100,1
15-11-2024 02:59:26,/api/v1/positions/None,1
15-11-2024 02:59:41,/api/v1/positions/None,2
15-11-2024 02:59:56,/api/v1/positions/None,3
15-11-2024 03:00:11,/api/v1/positions/None,4
15-11-2024 03:00:26,/api/v1/positions/None,5
15-11-2024 03:00:42,/api/v1/positions/None,6
15-11-2024 03:00:57,/api/v1/positions/None,7
15-11-2024 03:01:12,/api/v1/positions/None,8
15-11-2024 03:01:27,/api/v1/positions/None,9
15-11-2024 03:11:34,/api/v1/positions/None,1
15-11-2024 03:11:49,/api/v1/positions/None,2
15-11-2024 03:12:04,/api/v1/positions/None,3
15-11-2024 03:12:20,/api/v1/positions/None,4
15-11-2024 03:12:35,/api/v1/positions/None,5
15-11-2024 03:12:50,/api/v1/positions/None,6
15-11-2024 03:13:05,/api/v1/positions/None,7
15-11-2024 03:13:20,/api/v1/positions/None,8
15-11-2024 03:13:36,/api/v1/positions/None,9
15-11-2024 03:23:42,/api/v1/positions/None,1
15-11-2024 03:23:57,/api/v1/positions/None,2
15-11-2024 03:24:12,/api/v1/positions/None,3
15-11-2024 03:24:28,/api/v1/positions/None,4
15-11-2024 03:24:43,/api/v1/positions/None,5
15-11-2024 03:24:58,/api/v1/positions/None,6
15-11-2024 03:25:13,/api/v1/positions/None,7
15-11-2024 03:25:28,/api/v1/positions/None,8
